Year;Title;Artist;Genre;Duration (seconds);Duration (min:sec);Release Date;Popularity
2008;Heartless;Kanye West;chicago rap, hip hop, rap;211;3:31;2008-11-24;88
2008;Chicken Fried;Zac Brown Band;contemporary country, country, country road, modern country rock;238;3:58;2008-11-17;82
2008;Viva La Vida;Coldplay;permanent wave, pop;242;4:02;2008-05-26;88
2008;You're Gonna Go Far, Kid;The Offspring;alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk;177;2:57;2008-06-17;84
2008;Poker Face;Lady Gaga;art pop, dance pop, pop;237;3:57;2008-01-01;79
2008;Sex on Fire;Kings of Leon;modern rock, rock;203;3:23;2008-09-23;84
2008;Walking On A Dream;Empire of the Sun;australian dance, australian electropop, dance rock, indietronica, neo-synthpop;198;3:18;2008-10-03;82
2008;Low (feat. T-Pain);Flo Rida, T-Pain;dance pop, miami hip hop, pop, pop rap;231;3:51;2008-03-17;83
2008;Just Dance;Lady Gaga, Colby O'Donis;art pop, dance pop, pop;241;4:01;2008-01-01;77
2008;Kiss Me Thru The Phone;Soulja Boy, Sammie;atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap;193;3:13;2008-01-01;80
2008;I'm Yours;Jason Mraz;acoustic pop, dance pop, neo mellow, pop;242;4:02;2008-05-12;82
2008;Toes;Zac Brown Band;contemporary country, country, country road, modern country rock;262;4:22;2008-11-17;76
2008;Mary Jane's Last Dance;Tom Petty and the Heartbreakers;album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock;273;4:33;2008-05-20;76
2008;Sextape;Deftones;alternative metal, nu metal, rap metal, rock, sacramento indie;241;4:01;2008;78
2008;Savior;Rise Against;alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk;242;4:02;2008-01-01;79
2008;Disturbia;Rihanna;barbadian pop, pop, urban contemporary;238;3:58;2008-06-02;80
2008;Gives You Hell;The All-American Rejects;alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge;213;3:33;2008-01-01;73
2008;Billie Jean;Michael Jackson;r&b, soul;293;4:53;2008-02-08;83
2008;Whatever You Like;T.I.;atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap;249;4:09;2008-09-07;76
2008;Hot N Cold;Katy Perry;pop;220;3:40;2008-06-17;73
2008;Umbrella;Rihanna, JAY-Z;barbadian pop, pop, urban contemporary;275;4:35;2008-06-02;86
2008;You Belong With Me;Taylor Swift;pop;231;3:51;2008-11-11;72
2008;A-Punk;Vampire Weekend;baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock, stomp and holler;137;2:17;2008-01-29;72
2008;Paparazzi;Lady Gaga;art pop, dance pop, pop;208;3:28;2008-01-01;73
2008;Love Story;Taylor Swift;pop;235;3:55;2008-11-11;72
2008;Miss Independent;Ne-Yo;dance pop, pop, r&b, urban contemporary;232;3:52;2008-01-01;79
2008;In Color;Jamey Johnson;country, country road, outlaw country;290;4:50;2008-01-01;72
2008;Use Somebody;Kings of Leon;modern rock, rock;230;3:50;2008-09-23;79
2008;Burn It to the Ground;Nickelback;alternative metal, canadian rock, post-grunge;212;3:32;2008-10-28;76
2008;So What;P!nk;dance pop, pop;215;3:35;2008-10-24;79
2008;Forever;Chris Brown;pop rap, r&b, rap;278;4:38;2008-04-29;79
2008;I Kissed A Girl;Katy Perry;pop;179;2:59;2008-06-17;72
2008;Alright;Darius Rucker;black americana, contemporary country, country, country road;231;3:51;2008-01-01;72
2008;American Boy;Estelle, Kanye West;neo soul, r&b;284;4:44;2008-03-28;80
2008;A Milli;Lil Wayne;hip hop, new orleans rap, pop rap, rap, trap;221;3:41;2008-06-10;73
2008;Make You Feel My Love;Adele;british soul, pop, pop soul, uk pop;212;3:32;2008-01-28;75
2008;Decode;Paramore;candy pop, pixie, pop, pop emo, pop punk, rock;261;4:21;2008-11-04;75
2008;Don't Stop The Music;Rihanna;barbadian pop, pop, urban contemporary;267;4:27;2008-06-02;82
2008;Skinny Love;Bon Iver;chamber pop, eau claire indie, indie folk, melancholia, modern rock;238;3:58;2008-02-19;74
2008;Whatever It Is;Zac Brown Band;contemporary country, country, country road, modern country rock;208;3:28;2008-11-17;71
2008;Burnin' Up;Jonas Brothers;boy band, pop;175;2:55;2008-08-12;74
2008;Womanizer;Britney Spears;dance pop, pop;224;3:44;2008-12-02;78
2008;Addicted;Saving Abel;alternative metal, nu metal, post-grunge;222;3:42;2008-01-01;71
2008;Circus;Britney Spears;dance pop, pop;192;3:12;2008-12-02;77
2008;Second Chance;Shinedown;alternative metal, nu metal, post-grunge;222;3:42;2008-06-24;71
2008;Lollipop;Lil Wayne, Static Major;hip hop, new orleans rap, pop rap, rap, trap;299;4:59;2008-06-10;73
2008;A Milli;Lil Wayne;hip hop, new orleans rap, pop rap, rap, trap;221;3:41;2008-01-01;69
2008;People Are Crazy;Billy Currington;contemporary country, country, country road;231;3:51;2008-01-01;71
2008;LoveGame;Lady Gaga;art pop, dance pop, pop;216;3:36;2008-01-01;71
2008;Hayloft;Mother Mother;pov: indie, vancouver indie;181;3:01;2008-09-23;77
2008;Beat It;Michael Jackson;r&b, soul;258;4:18;2008-02-08;80
2008;Chasing Pavements;Adele;british soul, pop, pop soul, uk pop;210;3:30;2008-01-28;72
2008;Psychosocial;Slipknot;alternative metal, nu metal, rap metal, rock;284;4:44;2008-08-20;78
2008;Live Your Life;T.I., Rihanna;atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap;338;5:38;2008-09-07;77
2008;DONTTRUSTME;3OH!3;dance pop, electropowerpop, pop punk, pop rap, post-teen pop;192;3:12;2008-07-07;71
2008;White Winter Hymnal;Fleet Foxes;chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler;147;2:27;2008-06-03;71
2008;Burning Pile;Mother Mother;pov: indie, vancouver indie;262;4:22;2008-09-23;75
2008;Bad Girlfriend;Theory of a Deadman;alternative metal, canadian metal, canadian rock, nu metal, post-grunge;205;3:25;2008-04-01;68
2008;You Are the Best Thing;Ray LaMontagne;acoustic pop, indie folk, neo mellow, stomp and holler;231;3:51;2008-10-13;70
2008;Free;Zac Brown Band;contemporary country, country, country road, modern country rock;228;3:48;2008-11-17;69
2008;Love in This Club (feat. Young Jeezy);USHER, Jeezy;atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary;259;4:19;2008-05-27;74
2008;Touch My Body;Mariah Carey;dance pop, pop, urban contemporary;204;3:24;2008-04-15;77
2008;Mrs. Officer;Lil Wayne, Bobby V., Kidd Kidd;hip hop, new orleans rap, pop rap, rap, trap;286;4:46;2008-06-10;70
2008;Halo;Beyoncé;pop, r&b;261;4:21;2008-11-17;77
2008;Take A Bow;Rihanna;barbadian pop, pop, urban contemporary;229;3:49;2008-06-02;77
2008;Lucky;Jason Mraz, Colbie Caillat;acoustic pop, dance pop, neo mellow, pop;189;3:09;2008-05-12;76
2008;Poison Tree;Grouper;ambient, ambient pop, art pop, dream pop, drone, electra, experimental ambient, experimental pop, modern dream pop, shoegaze, spectra;196;3:16;2008-06-03;74
2008;Mayonaka no Door / Stay With Me;Miki Matsubara;classic city pop;312;5:12;2008;78
2008;Lollipop;Lil Wayne, Static Major;hip hop, new orleans rap, pop rap, rap, trap;299;4:59;2008-01-01;67
2008;Sound of Madness;Shinedown;alternative metal, nu metal, post-grunge;233;3:53;2008-06-24;70
2008;Troubadour;George Strait;contemporary country, country, country road;176;2:56;2008-01-01;68
2008;Still Counting;Volbeat;danish metal, danish rock;261;4:21;2008-08-28;75
2008;Everywhere I Go;Hollywood Undead;alternative metal, modern rock, post-grunge, rap metal, rap rock;210;3:30;2008-09-02;71
2008;Breakeven;The Script;celtic rock, pop;261;4:21;2008-07-14;76
2008;When I Grow Up;The Pussycat Dolls;dance pop, girl group, pop;245;4:05;2008-09-23;74
2008;Closer;Ne-Yo;dance pop, pop, r&b, urban contemporary;234;3:54;2008-01-01;69
2008;Undead;Hollywood Undead;alternative metal, modern rock, post-grunge, rap metal, rap rock;265;4:25;2008-09-02;72
2008;Harness Your Hopes - B-side;Pavement;alternative rock, chamber pop, indie rock, lo-fi, shoegaze;206;3:26;2008-12-09;70
2008;ゆめうつつ;Lamp;japanese alternative pop;315;5:15;2008-12-03;72
2008;Blue Side Of The Mountain;The Steeldrivers;bluegrass, modern southern rock, neo-traditional bluegrass, new americana;209;3:29;2008-01-15;67
2008;Blame It;Jamie Foxx, T-Pain;contemporary r&b, hip pop, r&b, southern hip hop, trap, urban contemporary;289;4:49;2008-12-11;68
2008;Put On;Jeezy, Kanye West;atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap;321;5:21;2008-01-01;68
2008;For Emma;Bon Iver;chamber pop, eau claire indie, indie folk, melancholia, modern rock;220;3:40;2008-02-19;68
2008;Arms Tonite;Mother Mother;pov: indie, vancouver indie;216;3:36;2008-09-23;72
2008;Permitame;Tony Dize, Yandel;reggaeton, urbano latino;185;3:05;2008-01-01;75
2008;Vanished;Crystal Castles;alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore;242;4:02;2008-03-18;72
2008;Halo;Beyoncé;pop, r&b;261;4:21;2008-11-14;68
2008;Say Hey (I Love You) (feat. Cherine Tanya Anderson);Michael Franti & Spearhead, Cherine Tanya Anderson;reggae fusion;235;3:55;2008-09-09;67
2008;Risk;Deftones;alternative metal, nu metal, rap metal, rock, sacramento indie;218;3:38;2008;69
2008;Wrecking Ball;Mother Mother;pov: indie, vancouver indie;194;3:14;2008-09-23;71
2008;Dangerous;Kardinal Offishall, Akon;canadian old school hip hop;246;4:06;2008-01-01;75
2008;Savior;Rise Against;alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk;242;4:02;2008-01-01;66
2008;Where I've Been;Matt Mason;modern country pop, modern country rock;188;3:08;2008-06-10;67
2008;It's Not My Time;3 Doors Down;alternative metal, nu metal, post-grunge, rock;241;4:01;2008-01-01;66
2008;If It Hadn't Been For Love;The Steeldrivers;bluegrass, modern southern rock, neo-traditional bluegrass, new americana;239;3:59;2008-01-15;66
2008;If U Seek Amy;Britney Spears;dance pop, pop;216;3:36;2008-12-02;73
2008;Single Ladies (Put a Ring on It);Beyoncé;pop, r&b;193;3:13;2008-11-14;68
2008;Ice Ice Baby;Vanilla Ice;miami hip hop;254;4:14;2008-11-04;73
2008;Indestructible;Disturbed;alternative metal, nu metal, rap metal, rock;278;4:38;2008-04-29;71
2008;Dead And Gone;T.I., Justin Timberlake;atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap;299;4:59;2008-09-07;70
2009;Party In The U.S.A.;Miley Cyrus;pop;202;3:22;2009-01-01;80
2009;Dog Days Are Over;Florence + The Machine;baroque pop, modern rock, uk alternative pop;251;4:11;2009;79
2009;Best I Ever Had;Drake;canadian hip hop, canadian pop, hip hop, pop rap, rap;257;4:17;2009;80
2009;Ain't No Rest for the Wicked;Cage The Elephant;modern alternative rock, modern rock, pov: indie, punk blues, rock;175;2:55;2009-03-24;77
2009;I Gotta Feeling;Black Eyed Peas;dance pop, pop, pop rap;289;4:49;2009-01-01;78
2009;All I Wanted;Paramore;candy pop, pixie, pop, pop emo, pop punk, rock;225;3:45;2009-09-28;77
2009;Empire State Of Mind;JAY-Z, Alicia Keys;east coast hip hop, gangster rap, hip hop, pop rap, rap;276;4:36;2009-09-08;84
2009;Bad Romance;Lady Gaga;art pop, dance pop, pop;294;4:54;2009-11-05;84
2009;Rosyln;Bon Iver, St. Vincent;chamber pop, eau claire indie, indie folk, melancholia, modern rock;289;4:49;2009-10-09;78
2009;Day 'N' Nite (nightmare);Kid Cudi;hip hop, ohio hip hop, pop rap, rap;221;3:41;2009-01-01;74
2009;Run This Town;JAY-Z, Rihanna, Kanye West;east coast hip hop, gangster rap, hip hop, pop rap, rap;267;4:27;2009-09-08;80
