Year;Title;Artist;Genre;Duration (seconds);Duration (min:sec);Release Date;Popularity;Acousticness;Danceability;Energy;Instrumentalness;Key;Loudness;Mode;Tempo;Time Signature;Valence
2008;Heartless;Kanye West;chicago rap, hip hop, rap;211;3:31;2008-11-24;88;0.0515;0.79;0.647;0.0;10.0;-5.983;0.0;87.999;4.0;0.654
2008;Chicken Fried;Zac Brown Band;contemporary country, country, country road, modern country rock;238;3:58;2008-11-17;82;0.645;0.566;0.713;0.0;6.0;-4.25;1.0;169.861;4.0;0.805
2008;Viva La Vida;Coldplay;permanent wave, pop;242;4:02;2008-05-26;88;0.0954;0.486;0.617;3.23e-06;5.0;-7.115;0.0;138.015;4.0;0.417
2008;You're Gonna Go Far, Kid;The Offspring;alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk;177;2:57;2008-06-17;84;0.00428;0.55;0.917;0.0;0.0;-3.159;1.0;126.115;4.0;0.601
2008;Poker Face;Lady Gaga;art pop, dance pop, pop;237;3:57;2008-01-01;79;0.118;0.851;0.806;1.64e-06;4.0;-4.62;1.0;118.999;4.0;0.787
2008;Sex on Fire;Kings of Leon;modern rock, rock;203;3:23;2008-09-23;84;0.00172;0.542;0.905;0.0104;9.0;-5.653;1.0;153.398;4.0;0.374
2008;Walking On A Dream;Empire of the Sun;australian dance, australian electropop, dance rock, indietronica, neo-synthpop;198;3:18;2008-10-03;82;0.257;0.871;0.701;7.52e-06;5.0;-5.594;0.0;126.975;4.0;0.716
2008;Low (feat. T-Pain);Flo Rida, T-Pain;dance pop, miami hip hop, pop, pop rap;231;3:51;2008-03-17;83;0.0928;0.918;0.609;0.0;10.0;-5.64;0.0;128.008;4.0;0.304
2008;Just Dance;Lady Gaga, Colby O'Donis;art pop, dance pop, pop;241;4:01;2008-01-01;77;0.0264;0.822;0.739;4.26e-05;1.0;-4.541;0.0;118.992;4.0;0.745
2008;Kiss Me Thru The Phone;Soulja Boy, Sammie;atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap;193;3:13;2008-01-01;80;0.0185;0.758;0.712;0.0;7.0;-3.781;1.0;149.998;4.0;0.795
2008;I'm Yours;Jason Mraz;acoustic pop, dance pop, neo mellow, pop;242;4:02;2008-05-12;82;0.559;0.703;0.444;0.0;11.0;-9.331;1.0;150.96;4.0;0.712
2008;Toes;Zac Brown Band;contemporary country, country, country road, modern country rock;262;4:22;2008-11-17;76;0.657;0.801;0.759;0.0;11.0;-5.398;1.0;129.971;4.0;0.821
2008;Mary Jane's Last Dance;Tom Petty and the Heartbreakers;album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock;273;4:33;2008-05-20;76;0.0272;0.464;0.655;1.34e-06;7.0;-9.058;0.0;169.515;4.0;0.531
2008;Sextape;Deftones;alternative metal, nu metal, rap metal, rock, sacramento indie;241;4:01;2008;78;0.000824;0.367;0.634;0.0759;5.0;-6.475;1.0;89.981;4.0;0.0964
2008;Savior;Rise Against;alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk;242;4:02;2008-01-01;79;0.00154;0.554;0.932;0.000142;5.0;-3.424;0.0;112.49;4.0;0.478
2008;Disturbia;Rihanna;barbadian pop, pop, urban contemporary;238;3:58;2008-06-02;80;0.0863;0.707;0.813;0.0;11.0;-4.515;0.0;124.921;4.0;0.722
2008;Gives You Hell;The All-American Rejects;alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge;213;3:33;2008-01-01;73;0.0159;0.718;0.691;0.0;4.0;-6.44;1.0;100.008;4.0;0.552
2008;Billie Jean;Michael Jackson;r&b, soul;293;4:53;2008-02-08;83;0.0236;0.92;0.654;0.0153;11.0;-3.051;0.0;117.046;4.0;0.847
2008;Whatever You Like;T.I.;atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap;249;4:09;2008-09-07;76;0.0161;0.68;0.687;0.0;9.0;-6.162;0.0;150.053;4.0;0.467
2008;Hot N Cold;Katy Perry;pop;220;3:40;2008-06-17;73;7.95e-05;0.706;0.841;0.0;7.0;-3.956;1.0;132.032;4.0;0.861
2008;Umbrella;Rihanna, JAY-Z;barbadian pop, pop, urban contemporary;275;4:35;2008-06-02;86;0.00864;0.583;0.829;0.0;1.0;-4.603;1.0;174.028;4.0;0.575
2008;You Belong With Me;Taylor Swift;pop;231;3:51;2008-11-11;72;0.162;0.687;0.783;1.35e-05;6.0;-4.44;1.0;129.964;4.0;0.443
2008;A-Punk;Vampire Weekend;baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock, stomp and holler;137;2:17;2008-01-29;72;0.0103;0.551;0.819;0.0437;2.0;-4.489;1.0;174.917;4.0;0.846
2008;Paparazzi;Lady Gaga;art pop, dance pop, pop;208;3:28;2008-01-01;73;0.113;0.762;0.692;0.0;5.0;-3.973;0.0;114.906;4.0;0.397
2008;Love Story;Taylor Swift;pop;235;3:55;2008-11-11;72;0.17;0.618;0.741;0.0;2.0;-3.95;1.0;118.984;4.0;0.296
2008;Miss Independent;Ne-Yo;dance pop, pop, r&b, urban contemporary;232;3:52;2008-01-01;79;0.522;0.673;0.683;0.0;1.0;-5.693;1.0;171.86;4.0;0.713
2008;In Color;Jamey Johnson;country, country road, outlaw country;290;4:50;2008-01-01;72;0.391;0.544;0.404;3.98e-06;3.0;-8.751;1.0;129.518;4.0;0.251
2008;Use Somebody;Kings of Leon;modern rock, rock;230;3:50;2008-09-23;79;0.00552;0.276;0.715;0.000417;0.0;-5.356;1.0;137.028;4.0;0.173
2008;Burn It to the Ground;Nickelback;alternative metal, canadian rock, post-grunge;212;3:32;2008-10-28;76;0.000247;0.617;0.922;0.388;11.0;-3.474;1.0;132.059;4.0;0.6
2008;So What;P!nk;dance pop, pop;215;3:35;2008-10-24;79;0.000334;0.534;0.87;0.0;11.0;-3.078;0.0;126.019;4.0;0.462
2008;Forever;Chris Brown;pop rap, r&b, rap;278;4:38;2008-04-29;79;0.0368;0.672;0.82;0.000188;11.0;-4.456;1.0;120.005;4.0;0.438
2008;I Kissed A Girl;Katy Perry;pop;179;2:59;2008-06-17;72;0.00223;0.699;0.76;0.0;5.0;-3.173;1.0;129.996;4.0;0.696
2008;Alright;Darius Rucker;black americana, contemporary country, country, country road;231;3:51;2008-01-01;72;0.0527;0.601;0.806;0.0;7.0;-4.579;1.0;89.87;4.0;0.711
2008;American Boy;Estelle, Kanye West;neo soul, r&b;284;4:44;2008-03-28;80;0.171;0.693;0.729;0.0;0.0;-2.99;1.0;117.848;4.0;0.521
2008;A Milli;Lil Wayne;hip hop, new orleans rap, pop rap, rap, trap;221;3:41;2008-06-10;73;0.0387;0.674;0.695;0.00202;6.0;-8.636;0.0;151.486;4.0;0.773
2008;Make You Feel My Love;Adele;british soul, pop, pop soul, uk pop;212;3:32;2008-01-28;75;0.907;0.317;0.172;0.000383;10.0;-10.636;1.0;65.18;3.0;0.0963
